,name_customer,clear_date,document_create_date.1,due_in_date,total_open_amount,baseline_create_date,isOpen,delay
23369,WAL-MAR corp,2019-02-22,2019-02-12,2019-02-27,44029.28,2019-02-12,0,-5 days
23370,SHERM'S  co,2019-01-28,2019-01-17,2019-02-01,29764.05,2019-01-17,0,-4 days
23371,DELHAIZE co,2019-05-09,2019-04-15,2019-04-30,17151.54,2019-04-15,0,9 days
23372,SYSCO  co,2020-01-27,2020-01-09,2020-01-24,26571.2,2020-01-09,0,3 days
23373,DELHAIZE in,2020-02-19,2020-01-29,2020-02-13,69357.34,2020-01-29,0,6 days
23374,TARG co,2019-09-17,2019-08-30,2019-09-14,292.06,2019-08-30,0,3 days
23375,BJ'S  us,2020-01-27,2020-01-11,2020-01-26,821.38,2020-01-11,0,1 days
23377,WAL-MAR us,2019-10-16,2019-10-03,2019-10-18,39117.9,2019-10-03,0,-2 days
23379,C&S WH foundation,2019-11-05,2019-10-19,2019-11-03,51057.99,2019-10-19,0,2 days
23381,WAL-MAR foundation,2020-02-04,2020-01-24,2020-02-08,1983.35,2020-01-24,0,-4 days
23382,KROGE associates,2019-03-25,2019-03-08,2019-03-23,55064.12,2019-03-08,0,2 days
23383,US  llc,2019-02-20,2019-01-18,2019-02-19,10164.51,2019-01-18,0,1 days
23384,RESTA associates,2019-11-13,2019-10-29,2019-11-13,4137.42,2019-10-29,0,0 days
23386,ATLANT corp,2019-06-03,2019-05-16,2019-06-03,5232.24,2019-05-24,0,0 days
23387,WAL-MAR in,2019-08-12,2019-07-30,2019-08-14,14431.52,2019-07-30,0,-2 days
23388,C&S WH co,2019-09-26,2019-09-11,2019-09-26,14250.69,2019-09-11,0,0 days
23389,RESTA co,2019-12-05,2019-11-20,2019-12-05,4918.81,2019-11-20,0,0 days
23390,HAR corporation,2019-11-12,2019-10-28,2019-11-12,88447.18,2019-10-28,0,0 days
23391,DEC associates,2019-10-16,2019-10-10,2019-10-24,353.4,2019-10-01,0,-8 days
23393,MCL co,2019-08-08,2019-07-24,2019-08-08,13610.71,2019-07-24,0,0 days
23394,BJ'S  systems,2019-04-11,2019-03-27,2019-04-11,243.37,2019-03-27,0,0 days
23395,C&S WH systems,2019-08-27,2019-08-11,2019-08-26,132960.22,2019-08-11,0,1 days
23396,SYSCO corporation,2019-09-09,2019-08-21,2019-09-05,749.96,2019-08-21,0,4 days
23398,BOZZU co,2019-01-28,2019-01-10,2019-01-25,40916.45,2019-01-10,0,3 days
23399,WAL-MAR associates,2019-12-03,2019-11-23,2019-12-08,13572.32,2019-11-23,0,-5 days
23400,ASSOCIAT ,2019-06-20,2019-06-04,2019-06-19,1742.01,2019-06-04,0,1 days
23401,SA co,2019-02-26,2019-02-12,2019-02-27,7922.83,2019-02-12,0,-1 days
23402,WAL-M in,2019-07-22,2019-07-04,2019-07-16,23097.89,2019-07-06,0,6 days
23403,BJ'S  foundation,2019-08-19,2019-08-04,2019-08-19,104.64,2019-08-04,0,0 days
23404,BJ'S  co,2019-10-15,2019-09-29,2019-10-14,308.43,2019-09-29,0,1 days
23406,PARK llc,2019-05-02,2019-04-25,2019-05-05,46988.0,2019-04-25,0,-3 days
23407,TARG in,2019-04-10,2019-02-06,2019-04-12,11034.17,2019-02-06,0,-2 days
23409,WAL-MAR ,2019-10-16,2019-10-05,2019-10-20,58683.92,2019-10-05,0,-4 days
23410,ASSOCIAT ,2019-09-09,2019-08-23,2019-09-07,12313.34,2019-08-23,0,2 days
23411,KROGER systems,2019-02-04,2019-01-18,2019-02-02,117683.6,2019-01-18,0,2 days
23412,KRAFT  co,2019-03-29,2019-02-08,2019-03-15,13340.16,2019-02-08,0,14 days
23413,MDV/ foundation,2019-11-12,2019-10-28,2019-11-12,34203.1,2019-10-28,0,0 days
23415,SHAM systems,2019-12-27,2019-12-23,2020-01-07,47709.64,2019-12-23,0,-11 days
23416,WAL-MAR trust,2019-11-22,2019-11-11,2019-11-26,14436.43,2019-11-11,0,-4 days
23417,ALBERT associates,2019-06-06,2019-05-22,2019-06-06,8614.56,2019-05-22,0,0 days
23418,US  corporation,2019-12-11,2019-12-03,2019-12-18,57566.63,2019-12-03,0,-7 days
23419,KWI trust,2019-07-18,2019-07-03,2019-07-18,75067.42,2019-07-03,0,0 days
23420,BJ'S  systems,2020-03-12,2020-02-26,2020-03-12,396.97,2020-02-26,0,0 days
23421,WAL-MAR us,2019-09-04,2019-08-22,2019-09-06,678.27,2019-08-22,0,-2 days
23422,DEF. F llc,2019-07-01,2019-06-19,2019-07-09,573.98,2019-06-16,0,-8 days
23424,DELHAIZE trust,2019-06-11,2019-05-28,2019-06-12,97083.3,2019-05-28,0,-1 days
23425,WAL-MAR associates,2019-04-04,2019-03-24,2019-04-08,66778.61,2019-03-24,0,-4 days
23426,BJ'S  in,2019-01-30,2019-01-15,2019-01-30,78.55,2019-01-15,0,0 days
23427,UNIFIE corp,2020-02-28,2020-02-13,2020-02-28,749.88,2020-02-13,0,0 days
23428,BOZZU systems,2019-03-15,2019-02-27,2019-03-14,22548.55,2019-02-27,0,1 days
23429,WAL-MAR associates,2019-03-12,2019-03-02,2019-03-17,21414.16,2019-03-02,0,-5 days
23430,WAL-MAR co,2020-02-19,2020-02-09,2020-02-24,2177.53,2020-02-09,0,-5 days
23431,BJ'S  us,2019-08-27,2019-08-12,2019-08-27,684.26,2019-08-12,0,0 days
23433,DOLLA trust,2019-09-16,2019-08-30,2019-09-14,157053.42,2019-08-30,0,2 days
23434,WAL-MAR corporation,2019-07-08,2019-06-20,2019-07-05,20009.83,2019-06-20,0,3 days
23435,SUPE systems,2019-06-10,2019-05-24,2019-06-08,66868.68,2019-05-24,0,2 days
23438,SMART &  trust,2019-04-05,2019-03-20,2019-04-04,42615.54,2019-03-20,0,1 days
23439,SYSCO F llc,2019-03-27,2019-03-14,2019-03-29,3130.13,2019-03-14,0,-2 days
23440,SAVE-ON- foundation,2019-09-09,2019-08-28,2019-09-07,86499.28,2019-08-28,0,2 days
23442,C&S WH corp,2020-02-20,2020-02-05,2020-04-10,766.07,2020-02-05,0,-50 days
23443,RESTA us,2019-08-14,2019-07-25,2019-08-14,1102.55,2019-07-25,0,0 days
23444,AM ,2019-07-12,2019-06-12,2019-06-27,182.22,2019-06-12,0,15 days
23445,KRFT FDS ,2019-03-29,2019-02-20,2019-03-27,38000.23,2019-02-20,0,2 days
23446,C&S WH ,2019-04-10,2019-02-03,2019-04-09,10227.05,2019-02-03,0,1 days
23447,C&S WH associates,2019-06-25,2019-06-09,2019-06-24,143486.43,2019-06-09,0,1 days
23448,WAKE foundation,2019-11-01,2019-10-22,2019-11-06,111799.29,2019-10-22,0,-5 days
23449,SO trust,2019-05-22,2019-05-06,2019-05-18,23762.99,2019-05-08,0,4 days
23450,WAL-MAR us,2019-01-11,2018-12-31,2019-01-15,46641.8,2018-12-31,0,-4 days
23451,TARG llc,2019-10-07,2019-09-20,2019-10-05,33484.37,2019-09-20,0,2 days
23452,SCHNU corp,2019-05-20,2019-05-06,2019-05-21,240944.64,2019-05-06,0,-1 days
23453,WAL-MAR systems,2020-02-21,2020-02-11,2020-02-26,1322.22,2020-02-11,0,-5 days
23454,PUBLI systems,2019-07-11,2019-06-26,2019-07-11,963.69,2019-06-26,0,0 days
23456,KING S ,2019-01-31,2019-01-16,2019-01-31,67882.83,2019-01-16,0,0 days
23458,SUPE foundation,2020-03-09,2020-02-19,2020-03-05,7985.13,2020-02-19,0,4 days
23459,WAL-MAR ,2019-05-28,2019-05-15,2019-05-30,70048.06,2019-05-15,0,-2 days
23460,ROU systems,2019-07-01,2019-06-14,2019-06-29,150015.36,2019-06-14,0,2 days
23461,MEIJ corporation,2019-06-07,2019-05-22,2019-06-06,43202.98,2019-05-22,0,1 days
23462,WAL-MAR us,2019-11-18,2019-11-04,2019-11-19,3790.9,2019-11-04,0,-1 days
23465,C&S WH llc,2019-03-07,2019-02-21,2019-03-08,8655.52,2019-02-21,0,-1 days
23467,TARG systems,2019-10-18,2019-07-07,2019-09-20,18.51,2019-07-07,0,28 days
23468,GREE corporation,2019-12-06,2019-11-05,2019-11-20,45696.0,2019-11-05,0,16 days
23470,ASSOCIAT corporation,2019-12-27,2019-12-11,2019-12-26,78962.89,2019-12-11,0,1 days
23471,BAKEMAR associates,2019-08-13,2019-07-22,2019-08-09,12122.55,2019-07-30,0,4 days
23473,C&S WH corporation,2019-03-20,2019-03-05,2019-03-20,51992.88,2019-03-05,0,0 days
23474,WAL-MAR associates,2020-02-25,2020-02-15,2020-03-01,15437.77,2020-02-15,0,-5 days
23475,KROGER ,2019-04-10,2019-03-23,2019-04-07,66759.88,2019-03-23,0,3 days
23476,ASSOCIAT corporation,2019-11-21,2019-11-05,2019-11-20,24547.12,2019-11-05,0,1 days
23477,AGR ,2019-08-05,2019-07-23,2019-08-23,73512.34,2019-07-24,0,-18 days
23478,JRD foundation,2019-10-02,2019-09-17,2019-10-02,10482.45,2019-09-17,0,0 days
23479,WAL-MAR ,2019-06-24,2019-06-05,2019-06-20,1312.56,2019-06-05,0,4 days
23481,BEN  corporation,2019-08-22,2019-08-14,2019-08-29,24168.43,2019-08-14,0,-7 days
23483,DRIS associates,2019-05-20,2019-05-06,2019-05-21,1182.24,2019-05-06,0,-1 days
23484,ASSOCIAT foundation,2019-08-09,2019-07-24,2019-08-08,18046.38,2019-07-24,0,1 days
23485,US  systems,2019-03-25,2019-03-08,2019-03-23,38533.71,2019-03-08,0,2 days
23486,DEC trust,2020-02-14,2020-02-06,2020-02-24,350.2,2020-02-01,0,-10 days
23487,WAL-MAR co,2019-04-04,2019-03-25,2019-04-09,2439.5,2019-03-25,0,-5 days
23488,WINC foundation,2019-03-14,2019-02-27,2019-03-14,11122.19,2019-02-27,0,0 days
23489,SA systems,2019-03-26,2019-03-09,2019-03-24,31716.81,2019-03-09,0,2 days
23490,DECA foundation,2020-02-14,2020-02-06,2020-02-24,81.0,2020-02-01,0,-10 days
23491,C&S WH llc,2019-12-31,2019-12-16,2019-12-31,11856.45,2019-12-16,0,0 days
23495,GROC co,2019-11-29,2019-11-13,2019-11-28,2342.0,2019-11-13,0,1 days
23497,C&S WH foundation,2019-06-20,2019-06-05,2019-06-20,98283.09,2019-06-05,0,0 days
23498,WAL-MAR ,2019-05-21,2019-05-09,2019-05-24,4272.16,2019-05-09,0,-3 days
23499,KRAFT  trust,2019-05-03,2019-03-08,2019-04-12,24912.0,2019-03-08,0,21 days
23500,JET associates,2019-09-26,2019-09-11,2019-09-26,2918.59,2019-09-11,0,0 days
23501,FR systems,2019-03-08,2019-02-21,2019-03-08,60882.77,2019-02-21,0,0 days
23502,SA ,2019-12-03,2019-11-16,2019-12-01,14380.15,2019-11-16,0,2 days
23503,WAL-MAR llc,2019-07-11,2019-06-25,2019-07-10,9357.92,2019-06-25,0,1 days
23504,PERFOR corp,2019-03-12,2019-02-28,2019-04-01,10679.85,2019-02-28,0,-20 days
23505,SA us,2019-05-10,2019-04-24,2019-05-09,18764.45,2019-04-24,0,1 days
23506,RA ,2020-03-10,2020-02-24,2020-03-10,6759.28,2020-02-24,0,0 days
23507,WAL-MAR llc,2019-11-13,2019-11-03,2019-11-18,813.21,2019-11-03,0,-5 days
23508,KRAFT  corp,2019-05-03,2019-03-24,2019-04-28,61095.65,2019-03-24,0,5 days
23509,C&S WH corporation,2019-12-27,2019-12-11,2019-12-26,103757.35,2019-12-11,0,1 days
23510,H E BUT us,2020-02-10,2020-01-25,2020-02-09,100535.91,2020-01-25,0,1 days
23511,DEC co,2020-01-15,2020-01-06,2020-01-24,3273.09,2020-01-01,0,-9 days
23512,JRD trust,2019-03-29,2019-03-15,2019-03-30,18781.6,2019-03-15,0,-1 days
23513,DECA in,2019-04-01,2019-03-19,2019-04-08,276.39,2019-03-16,0,-7 days
23514,WAL-MAR ,2019-06-20,2019-06-10,2019-06-25,48190.63,2019-06-10,0,-5 days
23515,WAL-MAR ,2020-01-21,2019-12-30,2020-01-14,6965.79,2019-12-30,0,7 days
23516,MEIJ corporation,2019-03-06,2019-02-19,2019-03-06,57986.86,2019-02-19,0,0 days
23519,KRAFT F systems,2019-09-27,2019-08-20,2019-08-20,63189.0,2019-08-20,0,38 days
23520,UNITE co,2019-12-23,2019-12-06,2019-12-21,18340.53,2019-12-06,0,2 days
23522,PUBLI corporation,2019-08-19,2019-08-02,2019-08-17,14775.4,2019-08-02,0,2 days
23524,WAL-MAR systems,2019-08-27,2019-08-16,2019-08-31,1328.25,2019-08-16,0,-4 days
23526,WAL-MAR associates,2019-10-28,2019-10-16,2019-10-31,55827.71,2019-10-16,0,-3 days
23527,WAL-MAR systems,2019-12-06,2019-11-25,2019-12-10,6169.66,2019-11-25,0,-4 days
23528,WAL-MAR corporation,2019-12-24,2019-12-13,2019-12-28,50925.88,2019-12-13,0,-4 days
23529,DOT ,2019-02-12,2019-02-05,2019-02-20,439.32,2019-02-05,0,-8 days
23530,WAL-MAR co,2019-03-26,2019-03-10,2019-03-25,8273.04,2019-03-10,0,1 days
23531,WEIS associates,2019-08-22,2019-08-06,2019-08-21,60412.12,2019-08-06,0,1 days
23532,TARG corp,2019-10-01,2019-09-15,2019-09-30,41297.38,2019-09-15,0,1 days
23533,WAL-MAR corporation,2019-12-03,2019-11-15,2019-11-30,6319.4,2019-11-15,0,3 days
23534,TARG corp,2019-03-06,2019-02-13,2019-02-28,226.27,2019-02-13,0,6 days
23535,C llc,2019-09-24,2019-09-03,2019-09-18,6289.34,2019-09-03,0,6 days
23536,WAL-MAR ,2019-11-19,2019-11-07,2019-11-22,9248.88,2019-11-07,0,-3 days
23537,BJ'S  associates,2019-11-04,2019-10-18,2019-11-02,424.32,2019-10-18,0,2 days
23538,KROGER us,2019-08-05,2019-07-21,2019-08-05,82696.39,2019-07-21,0,0 days
23539,BAUGH SU llc,2019-03-11,2019-02-22,2019-03-09,77701.07,2019-02-22,0,2 days
23540,CHENE ,2020-01-17,2020-01-01,2020-01-16,12583.02,2020-01-01,0,1 days
23541,WAL-M in,2019-12-30,2019-12-15,2019-12-26,57654.49,2019-12-16,0,4 days
23542,KROGER corporation,2019-05-06,2019-04-20,2019-05-05,99308.88,2019-04-20,0,1 days
23543,H T H associates,2019-05-21,2019-05-08,2019-05-23,5011.76,2019-05-08,0,-2 days
23544,WAL-MAR llc,2019-09-04,2019-08-25,2019-09-09,1897.5,2019-08-25,0,-5 days
23545,WAL-MAR associates,2019-05-09,2019-04-29,2019-05-14,15038.26,2019-04-29,0,-5 days
23546,SUPE associates,2019-10-18,2019-09-30,2019-10-15,15261.58,2019-09-30,0,3 days
23547,WAL-MAR trust,2019-04-23,2019-04-12,2019-04-27,35595.66,2019-04-12,0,-4 days
23549,WAL-MAR in,2019-10-09,2019-09-29,2019-10-14,14468.83,2019-09-29,0,-5 days
23550,NASH  corporation,2019-02-06,2019-01-22,2019-02-06,32116.88,2019-01-22,0,0 days
23552,WAL-MAR foundation,2019-04-30,2019-04-19,2019-05-04,48853.63,2019-04-19,0,-4 days
23553,DECA co,2019-01-29,2019-01-28,2019-01-23,5996.98,2019-01-16,0,6 days
23554,WINC corp,2020-01-28,2020-01-09,2020-01-24,6433.2,2020-01-09,0,4 days
23556,BARGAIN  llc,2019-03-04,2019-02-14,2019-03-01,24854.73,2019-02-14,0,3 days
23557,DEC corp,2019-09-03,2019-08-23,2019-09-08,139.32,2019-08-16,0,-5 days
23558,WAL-MAR systems,2020-03-03,2020-02-22,2020-03-08,21408.22,2020-02-22,0,-5 days
23559,DECA corporation,2019-09-24,2019-09-20,2019-09-23,35132.5,2019-09-16,0,1 days
23561,KRAFT  us,2019-12-20,2019-11-07,2019-12-12,14223.6,2019-11-07,0,8 days
23562,SHOPPE llc,2019-02-15,2019-01-29,2019-02-09,32204.06,2019-01-30,0,6 days
23563,COST in,2019-10-07,2019-09-23,2019-10-08,4598.98,2019-09-23,0,-1 days
23564,JET foundation,2019-10-10,2019-09-25,2019-10-10,10123.48,2019-09-25,0,0 days
23565,BJ'S  associates,2019-10-28,2019-10-11,2019-10-26,783.92,2019-10-11,0,2 days
23566,BJ'S  llc,2019-02-25,2019-02-08,2019-02-23,110.43,2019-02-08,0,2 days
23569,SAFEW us,2019-11-27,2019-11-12,2019-11-27,89453.08,2019-11-12,0,0 days
23571,SPAR in,2019-07-23,2019-07-08,2019-07-23,1593.97,2019-07-08,0,0 days
23572,DEC associates,2019-08-07,2019-08-05,2019-08-11,268.92,2019-08-01,0,-4 days
23573,SYSTEMS trust,2019-03-12,2019-02-24,2019-03-11,25536.0,2019-02-24,0,1 days
23574,K&S  trust,2019-11-04,2019-11-01,2019-11-16,40348.75,2019-11-01,0,-12 days
23575,WAL-MAR us,2019-01-22,2019-01-08,2019-01-23,37994.23,2019-01-08,0,-1 days
23576,SUPERI associates,2019-04-03,2019-03-15,2019-03-30,26956.8,2019-03-15,0,4 days
23577,WAL-MAR us,2019-10-07,2019-09-24,2019-10-09,49154.2,2019-09-24,0,-2 days
23578,GORDO corp,2019-07-02,2019-06-18,2019-07-03,28432.0,2019-06-18,0,-1 days
23579,KROGER associates,2019-02-25,2019-02-06,2019-02-21,42340.24,2019-02-06,0,4 days
23580,WAL-MAR corporation,2019-05-21,2019-05-11,2019-05-26,9668.34,2019-05-11,0,-5 days
23581,GORDO ,2019-02-20,2019-02-04,2019-02-19,19775.53,2019-02-04,0,1 days
23582,ALBERT associates,2019-10-10,2019-07-12,2019-10-10,1467.28,2019-07-12,0,0 days
23584,COSTCO co,2019-11-20,2019-11-01,2019-11-14,14071.77,2019-11-04,0,6 days
23586,J KIN corporation,2019-03-07,2019-02-15,2019-03-07,85460.85,2019-02-15,0,0 days
23587,SUPER  systems,2019-05-06,2019-04-19,2019-05-04,21319.95,2019-04-19,0,2 days
23588,FAMILY systems,2019-05-31,2019-05-17,2019-06-01,75535.5,2019-05-17,0,-1 days
23589,WAL-MAR us,2019-09-16,2019-09-05,2019-09-20,13910.71,2019-09-05,0,-4 days
23590,SHAM llc,2019-03-07,2019-03-04,2019-03-19,20951.1,2019-03-04,0,-12 days
23591,KROG corporation,2019-09-23,2019-09-08,2019-09-23,22166.6,2019-09-08,0,0 days
23593,US  in,2019-05-22,2019-04-30,2019-05-20,20450.04,2019-04-30,0,2 days
23594,SYSC associates,2019-05-16,2019-04-23,2019-05-10,118415.13,2019-04-30,0,6 days
23595,WAL-MAR llc,2019-07-24,2019-07-05,2019-07-20,10204.74,2019-07-05,0,4 days
23596,SNOW C corporation,2019-01-25,2019-01-08,2019-01-28,27140.29,2019-01-18,0,-3 days
23597,99 CE systems,2019-07-11,2019-06-19,2019-07-04,36325.13,2019-06-19,0,7 days
23598,US  ,2019-09-11,2019-08-22,2019-09-11,28783.58,2019-08-22,0,0 days
23600,BOARD ,2019-07-12,2019-06-26,2019-07-11,52918.67,2019-06-26,0,1 days
23601,SA systems,2019-12-27,2019-12-11,2019-12-26,61280.51,2019-12-11,0,1 days
23603,DAYLIGH co,2019-12-16,2019-12-04,2019-12-14,10519.2,2019-12-04,0,2 days
23604,US  us,2019-10-11,2019-09-23,2019-10-08,42938.71,2019-09-23,0,3 days
23605,WAL-MAR co,2019-01-22,2019-01-05,2019-01-20,6638.99,2019-01-05,0,2 days
23606,WAL-MAR foundation,2020-03-03,2020-02-22,2020-03-08,911.91,2020-02-22,0,-5 days
23607,SA corp,2019-01-28,2019-01-11,2019-01-26,15264.84,2019-01-11,0,2 days
23608,WAL-MAR corporation,2019-03-05,2019-02-22,2019-03-09,16169.63,2019-02-22,0,-4 days
23609,RA co,2019-10-15,2019-09-28,2019-10-13,51491.88,2019-09-28,0,2 days
23610,OK trust,2019-09-30,2019-07-01,2019-09-29,709.06,2019-07-01,0,1 days
23612,DOLLAR systems,2019-03-15,2019-02-28,2019-03-15,45025.88,2019-02-28,0,0 days
23613,WAL-MAR us,2019-04-15,2019-03-28,2019-04-12,56592.32,2019-03-28,0,3 days
23614,FOODL us,2019-12-18,2019-12-03,2019-12-18,2258.49,2019-12-03,0,0 days
23615,SYSC systems,2019-04-25,2019-04-08,2019-04-19,8458.23,2019-04-09,0,6 days
23616,NU corporation,2019-11-05,2019-10-06,2019-11-05,71100.8,2019-10-06,0,0 days
23619,LOB trust,2019-05-03,2019-04-13,2019-04-30,7051.86,2019-04-20,0,3 days
23620,DEC corp,2019-09-16,2019-09-10,2019-09-24,3694.76,2019-09-01,0,-8 days
23621,WAL-MAR co,2019-11-15,2019-11-04,2019-11-19,10766.13,2019-11-04,0,-4 days
23622,DECA associates,2019-09-16,2019-09-10,2019-09-24,17141.79,2019-09-01,0,-8 days
23623,DEC trust,2019-04-26,2019-04-19,2019-04-26,25819.62,2019-04-16,0,0 days
23624,REINHA llc,2020-02-06,2020-01-22,2020-02-06,63596.99,2020-01-22,0,0 days
23625,DOT systems,2019-04-26,2019-04-11,2019-04-26,19301.47,2019-04-11,0,0 days
23626,HT HA corporation,2019-08-23,2019-08-09,2019-08-24,335.77,2019-08-09,0,-1 days
23627,SA corporation,2019-12-06,2019-11-20,2019-12-05,45547.62,2019-11-20,0,1 days
23630,WAL-MAR us,2019-09-13,2019-09-02,2019-09-17,46960.37,2019-09-02,0,-4 days
23631,SYSC foundation,2019-10-25,2019-10-11,2019-10-26,4817.14,2019-10-11,0,-1 days
23632,C&S WH llc,2019-12-31,2019-12-16,2019-12-31,15009.17,2019-12-16,0,0 days
23635,WAL-M us,2019-03-14,2019-02-25,2019-03-08,15032.82,2019-02-26,0,6 days
23637,DEC systems,2019-12-10,2019-12-03,2019-12-11,17210.24,2019-12-01,0,-1 days
23638,TARG trust,2020-02-13,2020-01-30,2020-02-14,19084.3,2020-01-30,0,-1 days
23639,SA ,2019-10-16,2019-10-02,2019-10-17,6749.32,2019-10-02,0,-1 days
23640,KING S co,2019-10-23,2019-07-25,2019-10-23,4390.44,2019-07-25,0,0 days
23643,C&S WH corp,2019-02-11,2019-01-25,2019-02-09,7515.25,2019-01-25,0,2 days
23644,JRD llc,2019-03-14,2019-02-27,2019-03-14,8474.37,2019-02-27,0,0 days
23645,KROGER ,2020-03-09,2020-02-22,2020-03-08,111585.36,2020-02-22,0,1 days
23646,KR llc,2020-03-12,2020-02-18,2020-03-04,145246.92,2020-02-18,0,8 days
23647,WAL-MAR ,2019-03-26,2019-03-15,2019-03-30,15701.68,2019-03-15,0,-4 days
23650,GROC associates,2019-09-13,2019-08-29,2019-09-13,4504.5,2019-08-29,0,0 days
23651,WAL-MAR corporation,2019-12-24,2019-12-13,2019-12-28,14999.45,2019-12-13,0,-4 days
23652,ROU corp,2019-05-13,2019-04-26,2019-05-11,107570.04,2019-04-26,0,2 days
23653,RESTAU foundation,2019-07-16,2019-07-01,2019-07-16,5331.98,2019-07-01,0,0 days
23654,ASSOCIAT foundation,2019-07-29,2019-07-14,2019-07-29,50803.8,2019-07-14,0,0 days
23655,PERFOR systems,2020-02-26,2020-02-05,2020-03-08,6390.09,2020-02-05,0,-11 days
23656,DECA us,2019-11-01,2019-10-22,2019-11-08,1811.32,2019-10-16,0,-7 days
23658,SYSC llc,2020-01-30,2020-01-13,2020-01-25,5447.37,2020-01-15,0,5 days
23659,DEC foundation,2020-02-03,2020-01-24,2020-02-08,10971.62,2020-01-16,0,-5 days
23660,GORDON F in,2020-02-27,2020-02-11,2020-02-22,59393.77,2020-02-12,0,5 days
23661,AM corporation,2019-09-11,2019-08-22,2019-09-06,3430.19,2019-08-22,0,5 days
23662,WEGMAN trust,2019-10-10,2019-09-22,2019-10-07,13286.89,2019-09-22,0,3 days
23663,KRAFT  co,2019-05-31,2019-04-05,2019-05-10,12727.78,2019-04-05,0,21 days
23664,REINHA foundation,2019-08-09,2019-07-26,2019-08-10,20175.99,2019-07-26,0,-1 days
23665,BJ'S  co,2019-11-21,2019-11-06,2019-11-21,33.18,2019-11-06,0,0 days
23666,WAL-M us,2020-02-07,2020-01-22,2020-02-02,14019.71,2020-01-23,0,5 days
23667,WAL-MAR llc,2019-03-07,2019-02-19,2019-03-06,4204.47,2019-02-19,0,1 days
23668,LOB trust,2020-02-28,2020-02-14,2020-02-28,45888.54,2020-02-18,0,0 days
23669,BARGAIN  corporation,2019-05-06,2019-04-19,2019-05-04,14799.65,2019-04-19,0,2 days
23671,BJ'S  co,2019-12-20,2019-12-05,2019-12-20,528.48,2019-12-05,0,0 days
23673,SYSCO  systems,2019-10-07,2019-09-19,2019-10-04,19565.81,2019-09-19,0,3 days
23674,EL GR trust,2019-05-29,2019-05-14,2019-05-29,30692.38,2019-05-14,0,0 days
23675,DECA systems,2020-02-24,2020-02-22,2020-02-26,5649.36,2020-02-16,0,-2 days
23676,COST systems,2019-10-22,2019-10-08,2019-10-23,22189.76,2019-10-08,0,-1 days
23677,DECA systems,2019-05-16,2019-05-08,2019-05-24,691.56,2019-05-01,0,-8 days
23679,OK associates,2019-04-26,2019-04-09,2019-04-24,43924.38,2019-04-09,0,2 days
23680,SA associates,2019-12-11,2019-11-26,2019-12-11,93267.04,2019-11-26,0,0 days
23681,RALEY co,2019-06-19,2019-06-05,2019-06-20,47321.39,2019-06-05,0,-1 days
23682,KROGER systems,2020-03-11,2020-02-25,2020-03-11,14780.25,2020-02-25,0,0 days
23683,PERFOR co,2019-02-05,2019-01-25,2019-02-09,19377.43,2019-01-25,0,-4 days
23684,TARG ,2019-11-15,2019-10-31,2019-11-15,78209.32,2019-10-31,0,0 days
23685,CO us,2019-09-06,2019-08-23,2019-09-07,41068.81,2019-08-23,0,-1 days
23686,SMITHFIE corp,2019-11-20,2019-11-07,2019-11-22,108990.2,2019-11-07,0,-2 days
23688,WAL-MAR co,2019-08-05,2019-07-24,2019-08-08,908.55,2019-07-24,0,-3 days
23689,COST llc,2019-04-30,2019-04-16,2019-05-01,19262.82,2019-04-16,0,-1 days
23690,H E BUT co,2019-12-24,2019-12-08,2019-12-23,32191.08,2019-12-08,0,1 days
23691,ALBERT systems,2019-10-28,2019-10-13,2019-10-28,132673.97,2019-10-13,0,0 days
23693,WAL-MAR co,2019-12-24,2019-12-12,2019-12-27,33934.24,2019-12-12,0,-3 days
23694,WAL-MAR us,2019-08-05,2019-07-25,2019-08-09,4474.85,2019-07-25,0,-4 days
23695,BJ'S  foundation,2020-03-02,2020-02-13,2020-02-28,231.1,2020-02-13,0,3 days
23696,SO trust,2019-07-24,2019-07-04,2019-07-15,114428.17,2019-07-05,0,9 days
23697,LOB us,2019-05-03,2019-04-16,2019-05-03,7051.86,2019-04-23,0,0 days
23698,WAL-MAR corporation,2019-04-18,2019-04-08,2019-04-23,11837.34,2019-04-08,0,-5 days
23699,MEIJ corp,2019-10-18,2019-10-02,2019-10-17,3308.87,2019-10-02,0,1 days
23700,C&S WH ,2019-12-10,2019-11-22,2019-12-07,33559.22,2019-11-22,0,3 days
23701,SYSC corporation,2019-12-11,2019-11-22,2019-12-07,24783.63,2019-11-22,0,4 days
23703,BOZZU systems,2019-08-19,2019-08-01,2019-08-16,99160.53,2019-08-01,0,3 days
23705,WAL-MAR corp,2020-02-04,2020-01-24,2020-02-08,50919.34,2020-01-24,0,-4 days
23707,WAL-MAR ,2020-03-05,2020-02-23,2020-03-09,7053.17,2020-02-23,0,-4 days
23708,WAL-MAR systems,2019-12-12,2019-11-27,2019-12-12,39.73,2019-11-27,0,0 days
23709,DEC corporation,2019-10-16,2019-10-04,2019-10-24,70.8,2019-10-01,0,-8 days
23710,WAKE trust,2019-08-26,2019-08-09,2019-08-24,43115.69,2019-08-09,0,2 days
23711,WAL-MAR us,2019-10-24,2019-10-05,2019-10-20,2336.0,2019-10-05,0,4 days
23712,SOB us,2019-11-18,2019-10-25,2019-11-14,158949.85,2019-11-04,0,4 days
